"nom","typedecuisine","adresse","ville","lien_google_maps","phone"
"Minari","Corée","140","Nantes","https://www.google.com/maps?q=47.2199887,-1.5322322","+33 240746608"
"Sen's","Vietnam","","Nantes","https://www.google.com/maps?q=47.2155377,-1.5538961","+33 2 28 44 29 28"
"Vanola","Thaïlande","","Nantes","https://www.google.com/maps?q=47.2173858,-1.5462666","+33 2 55 02 98 04"
"Graziella","Italie","","Nantes","https://www.google.com/maps?q=47.2169386,-1.5553852","+33 9 82 41 70 68"
"Inde et Vous Bindi","Inde","","Nantes","https://www.google.com/maps?q=47.2168519,-1.556245","+33 2 51 72 41 01"
"Kusadasi","Turquie","","Nantes","https://www.google.com/maps?q=47.2167026,-1.5562471","+33 2 40 12 09 67"
"Kenji & Louise","Japon","","Nantes","https://www.google.com/maps?q=47.2179441,-1.5562372","+33 2 40 12 10 38"
"Inde et vous","Inde","","Nantes","https://www.google.com/maps?q=47.2193349,-1.5557498","+33 2 40 48 73 91"
"Suraj","Inde","","Nantes","https://www.google.com/maps?q=47.2194684,-1.5555438","+33 2 51 82 35 41"
"Youna","Liban","","Nantes","https://www.google.com/maps?q=47.2178672,-1.5567832","+33 2 40 12 41 58"
"L'Agave","Mexique","","Nantes","https://www.google.com/maps?q=47.2190719,-1.5552606","+33 2 40 47 54 51"
"Chaiyo","Thaïlande","","Nantes","https://www.google.com/maps?q=47.2175328,-1.5564098","+33 2 40 47 16 75"
"Mugen ramen","Japon","","Nantes","https://www.google.com/maps?q=47.2171405,-1.5543102","+33 2 28 49 02 08"
"Thé & Riz","Japon","","Nantes","https://www.google.com/maps?q=47.216489,-1.5552546","+33 9 81 28 84 28"
"Oneul","Corée","","Nantes","https://www.google.com/maps?q=47.2193854,-1.5547636","+33 2 55 58 16 46"
"Aux Quatre Saisons","Asie","","Nantes","https://www.google.com/maps?q=47.2148608,-1.5540163",""
"Nantes Asie","Asie","","Nantes","https://www.google.com/maps?q=47.2149585,-1.553919",""
"La Jonque","Asie","","Nantes","https://www.google.com/maps?q=47.2203969,-1.5350112","+33240370661"
"Mai Lan","Asie","","Nantes","https://www.google.com/maps?q=47.220738,-1.5353109","+33 251 86 43 50"
"Quê me","Vietnam","","Nantes","https://www.google.com/maps?q=47.2155323,-1.5531923","+33 2 40 05 98 72"
"Au Village d'Asie","Asie","","Nantes","https://www.google.com/maps?q=47.2151431,-1.55243","+33 9 81 85 29 28"
"Solita Traiteur","Thaïlande","","Nantes","https://www.google.com/maps?q=47.2150532,-1.5526764",""
"Asie Neptune","Vietnam","","Nantes","https://www.google.com/maps?q=47.2138381,-1.5536445","+33 9 54 71 85 75"
"Le Bombay","Inde","","Nantes","https://www.google.com/maps?q=47.2134837,-1.5541658","+33 2 40 35 15 54"
"Tierra Maya","Mexique","","Nantes","https://www.google.com/maps?q=47.2135502,-1.5540041","+33 9 87 16 62 70"
"Pho Minh","Vietnam","","Nantes","https://www.google.com/maps?q=47.213643,-1.5530574",""
"Le Temple du Ciel","Asie","","Nantes","https://www.google.com/maps?q=47.2157355,-1.5522142","+33 2 40 47 07 96"
"Asahi","Japon","","Nantes","https://www.google.com/maps?q=47.2158647,-1.5525137","+33 2 40 47 05 68"
"Le Gandhi","Inde","","Nantes","https://www.google.com/maps?q=47.2158346,-1.5518747","+33 2 28 29 67 29"
"Gochu","Corée","","Nantes","https://www.google.com/maps?q=47.2163176,-1.552012",""
"My Little Warung","Asie","","Nantes","https://www.google.com/maps?q=47.2163287,-1.5519145","+33 2 40 12 14 01"
"San Marco","Italie","Rue du Château","Nantes","https://www.google.com/maps?q=47.2162611,-1.552291","+33 2 40 47 47 48"
"Evet","Turquie","","Nantes","https://www.google.com/maps?q=47.2125209,-1.5521353","+33 2 28 08 06 18"
"Paola","Italie","","Nantes","https://www.google.com/maps?q=47.207579,-1.5641153","+33 2 40 47 84 10"
"Aux Saveurs des Indes","Inde","","Nantes","https://www.google.com/maps?q=47.2204021,-1.5489768",""
"Lebnane","Liban","","Nantes","https://www.google.com/maps?q=47.2203498,-1.5490307","+33 2 40 14 02 24"
"Baguettes Viet","Vietnam","","Nantes","https://www.google.com/maps?q=47.2199841,-1.5492138","+33 9 55 45 52 03"
"Byblos","Liban","","Nantes","https://www.google.com/maps?q=47.2156719,-1.5530737","+33 2 40 08 25 05"
"Kim Restaurant","Thaïlande","","Nantes","https://www.google.com/maps?q=47.2157581,-1.5527592","+33 2 40 35 18 40"
"Reginella","Italie","","Nantes","https://www.google.com/maps?q=47.2042023,-1.5113247",""
"Nota Bene","Italie","","Nantes","https://www.google.com/maps?q=47.2177117,-1.5520484","+33 2 40 12 47 22"
"Le Cèdre","Liban","","Nantes","https://www.google.com/maps?q=47.2129659,-1.5554472","+33 2 40 20 15 61"
"Royal Indien","Inde","","Nantes","https://www.google.com/maps?q=47.2127843,-1.5555238","+33 2 40 47 42 83"
"Capadocia","Turquie","","Nantes","https://www.google.com/maps?q=47.2125103,-1.5565656","+33 2 40 47 68 83"
"BibimboX","Corée","","Nantes","https://www.google.com/maps?q=47.2203721,-1.5631261","+33 2 51 82 33 65"
"La Pizza","Italie","","Nantes","https://www.google.com/maps?q=47.2236903,-1.5639399","+33 2 40 20 89 98"
"Le Jasmin","Asie","","Nantes","https://www.google.com/maps?q=47.2224293,-1.5629218","+33 2 40 48 13 42"
"Song","Asie","","Nantes","https://www.google.com/maps?q=47.2133362,-1.5604153","+33 2 40 20 88 07"
"Shalimar","Inde","","Nantes","https://www.google.com/maps?q=47.2128954,-1.5617476","+33 2 51 84 28 28"
"La Lune","Asie","","Nantes","https://www.google.com/maps?q=47.211585,-1.5519225",""
"Atlas Oriental","Maroc","","Nantes","https://www.google.com/maps?q=47.2130135,-1.559159","+33 9 61 12 15 01"
"Italian Trattoria","Italie","","Nantes","https://www.google.com/maps?q=47.2136096,-1.5580981","+33 2 40 08 23 56"
"Les Épices de l'Inde","Inde","","Nantes","https://www.google.com/maps?q=47.2096626,-1.5686052","+33 2 40 47 35 04"
"L'Oasis","Maroc","","Nantes","https://www.google.com/maps?q=47.2008404,-1.5458731","+33 2 40 84 27 87"
"La Pagode","Vietnam","","Nantes","https://www.google.com/maps?q=47.2011718,-1.5455931","+33 2 40 47 95 26"
"Maïmo","Méditerranée","","Nantes","https://www.google.com/maps?q=47.2195753,-1.5590224",""
"Sorya","Asie","","Nantes","https://www.google.com/maps?q=47.2194163,-1.5590313",""
"Daicine","Asie","","Nantes","https://www.google.com/maps?q=47.2146144,-1.5552587",""
"Dakoo","Corée","","Nantes","https://www.google.com/maps?q=47.2134275,-1.5533341","+33 2 72 02 15 96"
"Chez Red Luna","Japon","","Nantes","https://www.google.com/maps?q=47.215646,-1.5582603","+33 7 87 34 83 89"
"Coin de Jasmine","Liban","","Nantes","https://www.google.com/maps?q=47.209837,-1.5702089","+33 7 66 00 22 82"
"Jiajiale","Japon","","Nantes","https://www.google.com/maps?q=47.1880175,-1.5516662",""
"Adriatica","Italie","","Nantes","https://www.google.com/maps?q=47.193132,-1.5293418","+33 240757345"
"Sapore","Italie","","Nantes","https://www.google.com/maps?q=47.208578,-1.5292996","+33 2 40 35 27 54"
"Ichi Zen","Japon","","Nantes","https://www.google.com/maps?q=47.213263,-1.5463233","+33 2 51 82 05 70"
"Sushi 2 Go","Japon","","Nantes","https://www.google.com/maps?q=47.2128338,-1.5463895","+33 2 53 35 04 38"
"La Căn Tin Việt","Vietnam","","Nantes","https://www.google.com/maps?q=47.2119903,-1.5466484","+33 9 52 97 43 25"
"Bocca Piena","Méditerranée","","Nantes","https://www.google.com/maps?q=47.2117107,-1.5467125","+33 2 28 08 96 42"
"Morfal","Méditerranée","","Nantes","https://www.google.com/maps?q=47.2150504,-1.5589701",""
"Yum Yum","Vietnam","","Nantes","https://www.google.com/maps?q=47.2149819,-1.5591946","+33 2 55 54 35 48"
"BigBang","Corée","","Nantes","https://www.google.com/maps?q=47.2166957,-1.5338677",""
"Paku Paku","Japon","14 bis, Rue de Talensac, 44000, Nantes","Nantes","https://www.google.com/maps?q=47.2215955,-1.5575959","+33 2 40 35 74 91"
"Gare de l'Inde","Inde","","Nantes","https://www.google.com/maps?q=47.2148169,-1.5413913",""
"Miên Tây","Vietnam","","Nantes","https://www.google.com/maps?q=47.2180885,-1.5431749","+33 2 40296045"
"Dimfong","Asie","","Nantes","https://www.google.com/maps?q=47.2125262,-1.5601875","+33 2 40 69 44 06"
"Oro di Napoli","Italie","","Nantes","https://www.google.com/maps?q=47.2197084,-1.5596311","+33 2 53 97 60 27"
"Rajasthan","Inde","Route de Vannes, 44800, Saint-Herblain","Saint-Herblain","https://www.google.com/maps?q=47.2392387,-1.5899446",""
"Curry house","Inde","","Nantes","https://www.google.com/maps?q=47.2155894,-1.5529556","+33 2 40 75 84 20"
"Graine de saveurs","Maroc","","Nantes","https://www.google.com/maps?q=47.2292916,-1.571926","+33 6 75 32 64 40"
"La 500","Italie","","Nantes","https://www.google.com/maps?q=47.2125848,-1.5604227","+33 2 40 73 05 62"
"Tik Tak","Asie","","Nantes","https://www.google.com/maps?q=47.2156541,-1.5554504","+33 2 55 09 89 84"
"Le petit Paris","Maroc","","Nantes","https://www.google.com/maps?q=47.2183753,-1.5406703","+33 2 51 86 13 22"
"Amour","Italie","","Nantes","https://www.google.com/maps?q=47.2178861,-1.5621786","+33 2 40 10 08 26"
"Restaurant Bar Tan","Chine","","Nantes","https://www.google.com/maps?q=47.2385012,-1.5882003",""
"India Tandoor","Inde","","Nantes","https://www.google.com/maps?q=47.2147779,-1.5642858","+33 2 40 35 35 19"
"Izushi","Japon","","Nantes","https://www.google.com/maps?q=47.2146156,-1.5638755","+33 9 81 29 81 75"
"La bourriche","Fruits de mer","","Nantes","https://www.google.com/maps?q=47.2140047,-1.5635641","+33 9 55 31 98 92"
"La Salerosa","Mexique","","Nantes","https://www.google.com/maps?q=47.2111597,-1.5614027","+33 2 53 55 30 13"
"Myōkō","Japon","","Nantes","https://www.google.com/maps?q=47.2126114,-1.5605615","+33 2 40 73 41 49"
"Le Kashmir","Inde","","Nantes","https://www.google.com/maps?q=47.2128668,-1.5602044","+33 9 81 31 33 33"
"Tiktak","Vietnam","","Nantes","https://www.google.com/maps?q=47.2179277,-1.5428941","+33 2 40 77 29 32"
"Sushi Design","Japon","","Nantes","https://www.google.com/maps?q=47.2195984,-1.5553419","+33 2 28 49 88 88"
"Monseigneur","Maroc","","Nantes","https://www.google.com/maps?q=47.2127797,-1.559254","+33 2 40 35 29 08"
"Lotus Ravioli","Asie","","Nantes","https://www.google.com/maps?q=47.2140832,-1.5563869",""
"La Pause Royale","Fruits de mer","","Nantes","https://www.google.com/maps?q=47.2148366,-1.5584392",""
"Comptoir libanais","Liban","","Nantes","https://www.google.com/maps?q=47.2154104,-1.5569792","+33 2 28 49 02 94"
"Anatolia","Turquie","","Nantes","https://www.google.com/maps?q=47.2067233,-1.5551063","+33 9 80 71 53 72"
"Ravioli Rond","Chine","","Nantes","https://www.google.com/maps?q=47.2153243,-1.5523402","+33 2 28 44 98 53"
"Le diamant d'Asie","Asie","","Nantes","https://www.google.com/maps?q=47.2101788,-1.5507999",""
"Le Mezz","Liban","","Nantes","https://www.google.com/maps?q=47.2103118,-1.5508945","+33 2 52 10 60 28"
"Baïté","Liban","","Nantes","https://www.google.com/maps?q=47.2149709,-1.5645059","+33 7 43 69 29 35"
"+39","Italie","","Nantes","https://www.google.com/maps?q=47.2129755,-1.5550526","+33 2 40 03 03 23"
"EDO","Japon","","Nantes","https://www.google.com/maps?q=47.2004373,-1.589435","+33 2 40 36 42 78"
"Sale & Pepe","Italie","","Nantes","https://www.google.com/maps?q=47.1936056,-1.5465741","+33 6 12 04 79 34"
"Chez Fruta","Éthiopie","","Nantes","https://www.google.com/maps?q=47.2150119,-1.5642522","+33 6 20 14 00 84"
"L'uccello","Italie","","Nantes","https://www.google.com/maps?q=47.198246,-1.5854423","+33 2 28 06 33 30"
"La Mamounia","Maroc","","Nantes","https://www.google.com/maps?q=47.2113445,-1.5517025","+33 2 40 48 53 37"
"Noï","Asie","","Nantes","https://www.google.com/maps?q=47.2160574,-1.5588194",""
"Délices d'Asie","Asie","","Nantes","https://www.google.com/maps?q=47.2334799,-1.5656008","+33 2 40 40 92 36"
"Yum Yum","Japon","","Nantes","https://www.google.com/maps?q=47.2157723,-1.5343551",""
"Maria","Italie","","Nantes","https://www.google.com/maps?q=47.2133896,-1.5618451","+33 2 28 21 77 03"
"SUKO","Japon","","Nantes","https://www.google.com/maps?q=47.2059415,-1.5461712","+33 2 28 29 27 67"
"Kalouna","Thaïlande","","Nantes","https://www.google.com/maps?q=47.2165357,-1.5558284","+33 9 72 86 87 85"
"Kyoto","Japon","","Nantes","https://www.google.com/maps?q=47.2189495,-1.5376122",""
"Taj Mahal","Inde","","Nantes","https://www.google.com/maps?q=47.1956391,-1.536559","+33 2 40054862"
"Les Épices","Turquie","11, Rue Aristide Briand, 44400, Rezé","Rezé","https://www.google.com/maps?q=47.1842086,-1.5458579","+33 9 67 65 02 45"
"Emporietto","Italie","","Nantes","https://www.google.com/maps?q=47.2237805,-1.5545856","+33 9 83 59 06 73"
"Eita!","États-Unis","","Nantes","https://www.google.com/maps?q=47.2070955,-1.5594108",""
"Mòaa","Corée","","Nantes","https://www.google.com/maps?q=47.2070163,-1.5593793",""
"Kuchi","Asie","","Nantes","https://www.google.com/maps?q=47.2173912,-1.5639409",""
"Indien Grill","Inde","","Nantes","https://www.google.com/maps?q=47.2076435,-1.5717453",""
"Giorgia","Italie","","Nantes","https://www.google.com/maps?q=47.2151684,-1.5600425","+33 2 40 35 35 95"
"Olive Food","Inde","","Nantes","https://www.google.com/maps?q=47.2263854,-1.5198363","+33 2 49 09 35 59"
"L'Espuma","Italie","44300, Nantes","Nantes","https://www.google.com/maps?q=47.2421778,-1.5326188","+33 6 11 72 82 40"
"Marché 212","Vietnam","","Nantes","https://www.google.com/maps?q=47.2170592,-1.5458706",""
"Jaleo","Espagne","","Nantes","https://www.google.com/maps?q=47.199515,-1.5894605","+33 9 88 49 04 95"
"La Tosca","Italie","","Nantes","https://www.google.com/maps?q=47.2497185,-1.5191904","+33 2 40 49 30 60"
"Giorgio Ristorante","Italie","","Nantes","https://www.google.com/maps?q=47.2470413,-1.5028883","+33 2 40 52 36 68"
"Wok Gourmand","Asie","","Nantes","https://www.google.com/maps?q=47.1922098,-1.5794865",""
"Zio Gino","Italie","","Nantes","https://www.google.com/maps?q=47.2484967,-1.5134229",""
"Paellas y Tapas","Espagne","","Nantes","https://www.google.com/maps?q=47.2055657,-1.5559174","+33 7 66 86 45 41"
